Scenario,Total System Cost,CO2 Emissions,Grid Development,Biomass Power,Battery Power,Hydrogen Power,Imbalance Power,Flexibility Usage,Hydrogen 2045 Energy,battery 2045 Energy,Biomass Utilization 2045,Renewables Investments,Peak Reduction,RES Curtailment,Spot Market,Grid Loading,Total Imbalance,Imbalance Peak,Biomass Utilization,Fossil Fuel Utilization,SME Usage,SME Money,Flexibility Investment,Flexibility Potential,Flexibility Cost,Flexibility Duration
S20,444476822405.52856,1778.69595988176,282252.174828154,4481.899854351872,70390.49138487456,68305.61841771871,53270.2613951464,90598305.66083674,36567021.2844612,52320659.38631238,1710624.9900631546,420.5188925285643,-6.933650256540885,3412925119.3247848,36.105875368960255,28.786482574677475,6761839.02996513,53.2702613951464,1113.7466803551952,3039.068316071189,-18.32261840078411,-796.8170967563354,95740.0891760491,20.0,50.0,4.0
S21,444486690611.56384,1778.253818682483,282326.04430477635,4448.892056431814,70274.63817406248,68358.7820790016,53214.83631758304,90923191.88428798,36746366.83565968,52482619.11981936,1694205.928808945,420.75663644730616,-6.92026444516502,3414571529.5113955,36.09930304244225,28.821335921347025,6789776.156976834,53.214836317583035,1112.2027896529996,3038.6618443932603,-20.66298916634911,-897.8981063925071,95724.63858637106,20.0,50.0,5.0
S22,444449621116.4093,1777.8927214518733,282294.50657206494,4441.406378877588,70265.1119450357,68273.94924740485,53019.39128799637,89612338.87288061,36176091.526218966,51747581.11527397,1688666.2313876692,421.1239169199745,-6.914747239853267,3418127352.123315,36.05710370205099,28.808723122568058,6802084.83895441,53.01939128799637,1111.3074821616954,3038.155551168741,-22.222043456099605,-965.2926150182903,95658.8730862759,20.0,50.0,6.0
S23,444404342654.9573,1777.732627614942,283054.16647483926,4440.726813963202,70287.15854123601,68260.64544874977,52233.82313453309,89743048.03297259,36212948.118766725,51839978.340228096,1690121.573977764,421.09426979937547,-6.917939965726305,3417416899.9122906,36.05920987491714,28.74013369160185,6803709.612698084,52.2338231345331,1111.0045473959847,3037.8518003138947,-22.864954493539212,-992.84170836209,95655.30408266427,20.0,50.0,7.0
S24,444335462485.2272,1777.7125904695258,285132.72455993266,4440.854691425086,70290.66573109849,68233.91968316985,52256.46963537816,90597560.00002293,36612504.77925362,52299805.807771295,1685249.4129980193,421.04855442371326,-6.916521801565497,3416709615.172938,36.05359157884416,28.739876832862382,6799887.848188529,52.25646963537816,1110.9997263454286,3037.8016570858954,-22.952866790455285,-996.4651029057151,96070.92686020085,20.0,50.0,8.0
S25,445564377453.66833,1785.1884002638517,280237.10653449234,4523.347214974281,70575.81607474602,68439.25381211647,54496.91403859547,89627796.02473488,35887003.31854111,51977885.98562391,1762906.7205698665,421.0700330595471,-6.587361452948536,3404275031.423754,36.235659219347596,28.58147348660388,7029124.527158177,54.49691403859547,1119.5508443900383,3052.4753352034363,-9.68630752712934,-85.65024681431565,95654.48753498492,20.0,10.0,1.0
S26,444284005266.7448,1780.0460824090826,282107.6758370033,4521.644683765917,70400.78940387539,68525.55104290368,52620.23099192227,89864523.92573792,36382114.8107315,51751599.877706215,1730809.237300201,419.77514714710196,-7.130330958464709,3407141976.8374496,36.147857000591515,28.961678703161635,6746392.301544233,52.62023099192227,1118.4586453192655,3040.6139695726147,-18.791047491007358,-166.16588414999583,95635.17839189411,20.0,10.0,2.0
S27,443892524316.5276,1777.9900667557893,282095.8199336148,4512.096869513639,70324.89388048602,68422.15347710928,53415.13862264345,89735373.91130614,36340756.90415601,51663782.18224759,1730834.824902542,419.6298172173478,-7.11103427374391,3408858914.245954,36.141892301547855,28.760284370377864,6812114.326585284,53.41513862264345,1117.567533134137,3036.6655481280864,-26.422912798225344,-233.54109965933145,95754.02055667344,20.0,10.0,3.0
S28,443579701474.5002,1776.614411299038,282060.11245447636,4511.973454855149,70248.82281162468,68401.56589475977,52952.67130187822,89651895.2438089,36363247.44481426,51555980.980038345,1732666.8189562848,419.52665323486343,-7.09947066276867,3407431819.963725,36.08482222489627,28.923757422464103,6800960.941709555,52.95267130187822,1117.6003801787742,3033.2376536656584,-32.44758466495386,-286.5434486875099,95635.02918351884,20.0,10.0,4.0
S29,443636852778.1194,1775.6679255121987,280794.94238825375,4511.871139757161,70108.09231659325,68386.74840378622,53718.108129376735,89486091.77052043,36072039.210402176,51657056.61491316,1756995.94520511,420.36253116180046,-6.696074329824481,3400292260.6978583,36.127482875079316,28.55515021333175,7116502.9411229575,53.71810812937674,1118.1778685368038,3031.4305342430152,-37.727194802187526,-332.809002636324,95503.95247555341,20.0,10.0,5.0
S30,443449857364.7089,1775.5578687742577,282116.6681750848,4511.7316944220365,70022.08330122616,68318.763534356,53172.43244283746,89969252.16155265,36540849.25737474,51707050.31688711,1721352.587290804,419.76293586116054,-7.068196944267311,3409178125.5436993,36.04436226964235,28.94301602021004,6828593.720459022,53.17243244283746,1117.7836716349996,3030.9802597507323,-41.82303427121532,-368.54137215434434,95628.3358295853,20.0,10.0,6.0
S31,443352584497.0021,1775.1380706458622,282943.3872195229,4511.795664996598,69916.19360934448,68327.76962861489,52429.57136492462,91934445.08880919,37335607.39932311,52881203.55226892,1717634.1372171685,419.50152194323607,-7.071867984080882,3407173642.3431168,36.11196709991997,29.395570452242893,6834068.400667502,52.42957136492462,1117.7996934436837,3030.2109443971885,-44.0134180672815,-387.4016435691034,95625.7434974807,20.0,10.0,7.0
S32,443236649102.905,1774.9924816078176,284822.9652711038,4512.085029904063,69882.52406537134,68344.42298136657,52836.810914096335,89545012.33082217,36433350.722871415,51400737.94757187,1710923.6603788803,419.45282237248466,-7.076500943133584,3408496049.073412,36.103174656072866,28.408783944692345,6827108.075437507,52.83681091409633,1117.7063048722769,3029.777962010757,-44.100911235274616,-388.2321435572945,96079.76165236843,20.0,10.0,8.0
S33,445774790586.81744,1786.027589239993,280655.02478098974,4520.741589517117,70749.83081662309,68427.46273251838,53189.45078166742,89670010.23131952,35810283.03280869,52092630.49918966,1767096.69932117,421.7296857959451,-6.32748039443064,3409214081.7698784,36.24593120137992,28.343775190745447,6988555.085523758,53.189450781667425,1118.94293850127,3053.5421367172744,-2.3949846343431167,-202.49661366390214,95508.50214026314,15.0,100.0,1.0
S34,445376191900.89374,1784.927123435519,282002.606622018,4485.418446782449,70679.36305654724,68494.95138274122,52343.723444455,90000315.89083181,36222438.451725855,52061541.106387466,1716336.332718486,421.1421414671715,-6.7371689594097175,3418303321.8788214,36.143455392942286,28.939811378263048,6721545.396375438,52.343723444454994,1116.8101602160104,3050.1178390246378,-4.459247431713737,-376.4198557469622,95601.21259050877,15.0,100.0,2.0
