Scenario,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S30,-644.5627124193554,-963.7945855610235,-1121.9105620312484,-1020.2848815193404,-1219.3332760076662,-1228.0610469235905,-1208.2623725215315,-1091.200895390358,-1046.1103908757998,-858.1921544549092,-1170.2359398610165,-723.4847151217449,-718.1826150603072,-608.3351076348249,-332.1040945593543,-633.7049555716324,-940.5857618230149,-663.9237034101537,-50.66394607877434,-22.79838000127592,0,0,0,0,0,0
S31,-646.3922601489744,-968.9869042966717,-1136.1946061070078,-1049.981193948049,-1269.591398473052,-1257.770218645903,-1197.037350777041,-1144.2478403459013,-1018.2348306428653,-833.9251786261368,-1148.719724554807,-622.580171341375,-708.652734044648,-792.6805674352861,-523.2818849351518,-692.3409156497282,-945.9430920181325,-750.2032837866235,-50.893378859826925,-21.75509469857864,0,0,0,0,0,0
S32,-653.8675807689783,-969.9465554600779,-1136.1391945241598,-1052.394568115591,-1270.2974510187967,-1257.0886519316273,-1209.2136141371777,-1143.2173077195848,-1019.1551668459375,-851.3780811775513,-1147.4783896499414,-707.760144689872,-748.2339443792982,-825.9569121274116,-572.7641270808199,-703.4407254838495,-988.3601976617866,-812.0319923937966,-54.77010606120514,-24.499909546964123,0,0,0,0,0,0
S33,-4.158780742828883,-191.47982094338943,-197.37819258026556,-149.39628361986433,-221.4032121542262,-219.28141453356974,37.869693619327904,-47.12504546374241,-296.0242196308114,70.61681332794566,-8.913869659667562,-126.1426876620364,31.330970365346822,-148.39199540086145,-371.59793520267925,-68.49626274703357,116.58674210484854,-209.47150809433168,9.194827845350861,3.5303610057897274,0,0,0,0,0,0
S34,-7.239924946908616,-205.63113604801543,-214.1754007070116,-198.92552593667114,-289.26281946380163,-307.2934701134438,-218.64251924312228,-399.83784640344663,-589.3882413339409,-459.33653156440005,-609.3122675999556,-279.3832367736098,-212.08025481386005,-222.44269928892902,-103.64862920640317,-39.04182342498164,-314.02832675395234,-291.45951841860375,-15.673669556847791,-7.82461099147702,0,0,0,0,0,0
S35,-10.905126578052426,-214.56622535437077,-237.1103398020491,-219.1012821606213,-335.83969644703603,-350.2116278698804,-298.36819283494617,-457.7266727990841,-647.3272482299573,-521.8952988862977,-668.2541397736603,-330.9078946637465,-267.7026159748275,-294.90917714879663,-169.3909195002199,-129.76910308605216,-330.05251666524595,-413.94066850839994,-18.062412864293663,-9.766808043110938,0,0,0,0,0,0
S36,-12.635737259744984,-221.57558921261523,-244.5242098439171,-230.7074151084003,-357.38534743094164,-375.0867852288628,-333.1652626736199,-557.9473508854998,-671.9848437382492,-559.2675722160569,-724.6551684994893,-413.57886897726814,-373.69631844446707,-410.7867806964176,-263.6734078181506,-229.0484614329573,-400.23260582096486,-466.8872728271429,-25.506698673260388,-13.889704016465949,0,0,0,0,0,0
S37,-13.01253462365015,-225.99503758453255,-245.56785479688693,-237.71658803485707,-372.9848846027499,-392.71667662584787,-359.8544196534066,-584.6541646658299,-711.3833501195552,-599.5734099941261,-751.207165086341,-447.0358828739407,-461.02593645693713,-524.1057453551692,-134.02614036552586,-180.09632567831522,-432.0187517537439,-501.0728553517465,-29.606012065138245,-16.57899833645813,0,0,0,0,0,0
S38,-12.957589053406881,-226.63330397734515,-246.50181248609647,-240.20560298739866,-376.52089465896046,-398.48977049564917,-364.4878894656207,-600.4254048552493,-728.8812862230145,-616.034540651377,-767.9224500607012,-499.4615344163007,-520.3676547544367,-618.3290112079734,-207.73356143905363,-249.45824202646173,-415.2216142392149,-554.1783416656472,-34.65585576598884,-20.72131719952789,0,0,0,0,0,0
S39,-12.99291297258498,-226.6447264161868,-246.5262037411673,-240.29428003394713,-376.8605318157574,-397.7236337952004,-364.3867174411364,-598.9150130475603,-729.2444614534883,-616.7236197659678,-770.5643747704682,-507.2146936131272,-525.9385898418553,-627.3921797707444,-217.27348960645543,-255.70989021971968,-426.47182449052144,-561.776996459888,-34.72601658180729,-21.710465668710032,0,0,0,0,0,0
S40,-12.949017897524062,-226.64674524992435,-246.46832364138584,-240.2782510093311,-376.69472902690336,-398.13265989008426,-364.38605585624373,-598.8475004192173,-729.1623812223706,-616.9165795822033,-770.5677648168656,-508.6037119602871,-524.2966724872745,-628.5235328667956,-217.62287566633097,-253.25777224081847,-413.43922775375665,-584.059561189064,-33.79680809181473,-21.386745225218135,0,0,0,0,0,0
S41,-11.495846535625077,-200.25385970148824,-210.66945691027294,-152.62786315192932,-235.14123238273842,-254.12747605120688,42.563297235016506,14.702810674466882,-259.4923085390022,92.34985315271871,28.563608087452508,-104.09729267369715,70.13287121166023,-110.0158683515442,-314.73428612316656,-17.146740427155464,204.18827979987864,-197.42786683848036,10.580435754846462,4.498047012285759,0,0,0,0,0,0
S42,-20.74213167946376,-220.29481686637587,-235.73485726746802,-258.5345138438049,-337.62350542007533,-341.7534814218639,-285.3449348031338,-397.4586962324036,-593.554115842517,-456.27886527041994,-622.2205561125467,-338.6773427416507,-169.00216487541454,-236.67617457265777,-88.3506130345122,26.8647983014052,-231.28097599494524,-304.89709258037226,-15.171548777736188,-6.774581533992569,0,0,0,0,0,0
S43,-32.33585122500687,-232.45561068540786,-279.00982356875704,-275.5831147738159,-360.16500832041663,-390.2611414512487,-413.00750576918864,-461.43664066149626,-595.3801309020693,-446.0646647903319,-633.7885769765332,-382.71373326464885,-222.3779708133611,-254.94596020596737,-133.78154758323467,-92.15001146804181,-188.08956549333368,-330.64114691213217,-11.131160159945086,-6.471348541889109,0,0,0,0,0,0
S44,-38.66419978581392,-254.08072091945044,-281.78062482684885,-299.70995161246526,-380.0840328041239,-395.78897446378124,-387.79771546679956,-480.6196514309731,-545.3111440666047,-442.71146850717537,-618.6394625972973,-402.1561558293607,-306.7047805903993,-312.0674708959994,-193.1971631513436,-83.36503801563566,-180.44741121517393,-311.48184508102617,-10.98705720331683,-7.336795047448698,0,0,0,0,0,0
S45,-41.21090301019697,-261.7354530038285,-287.8089503018098,-294.05500423991396,-426.7002751719984,-420.21256570353404,-382.297142801729,-488.90603506966903,-544.0378609553296,-487.24289938351893,-638.5240737014497,-443.71179823688857,-387.51710101826563,-415.5586458282157,-103.15334360798367,-146.04718087885172,-219.18156113737908,-311.41659840404844,-19.190994962859477,-10.2940186426164,0,0,0,0,0,0
S46,-41.21420383596702,-267.92286351394546,-292.66306377234264,-302.5608679036984,-422.3858457665415,-403.43457933059136,-339.8394038333565,-475.02567779787876,-534.841948795215,-485.2054511154389,-641.3936213066878,-443.4456382252607,-456.4711706712252,-523.2742613670612,-28.28156501545287,-128.93133999998784,-181.66279440217804,-341.62675351310054,-20.915581822885883,-12.891829999961487,0,0,0,0,0,0
S47,-41.02460080160753,-271.85530253240466,-294.6505739091325,-302.91320657868766,-423.3286517887622,-404.6946897772985,-328.58210571987365,-468.1749164078983,-530.3860399103053,-474.3408630477006,-621.5036808755148,-435.28399075601953,-436.17420653724537,-527.2354582358387,-50.365203050549034,-95.14680080780468,-93.91129422919597,-342.7108430615906,-19.145943899148143,-12.99438812285338,0,0,0,0,0,0
S48,-41.069011999390945,-271.846233995932,-294.49879028522696,-302.8732462063499,-418.67358385497687,-404.10293271107366,-327.61704900900224,-467.4527212240127,-539.7353252174968,-475.5984157683795,-623.6998431202459,-437.38293948224083,-437.71761790046514,-530.4565293048018,-54.7794846700862,-105.1679556458227,-90.34122364208486,-357.4163887423536,-19.88463625846171,-13.586896004077477,0,0,0,0,0,0
S49,-23.8523143847984,-214.2563578907446,-219.74776738441636,-184.6092521628875,-271.47748930259485,-285.0151855003915,52.07146016470254,45.96230776751486,-211.8631422361794,54.00144105148463,-0.6775857384013761,-121.066722661884,67.39696377765725,-123.36714297374928,-286.12700810463207,13.629523079996986,386.3095290607497,-134.71585018314693,18.248338172237588,7.279516180751161,0,0,0,0,0,0
S50,-37.34369592000586,-249.4107684728648,-283.10248387292745,-320.656431093576,-426.7014055867087,-390.1863830798007,-488.905512831618,-423.1076372835752,-626.3898676427608,-469.7636613004388,-628.1339436857643,-312.9443710062727,-160.6692076397067,-80.85173870737083,-41.143774998308125,29.18837306119304,-118.0470915248808,-280.88893934705703,-3.9581895283362645,-1.6365051350816995,0,0,0,0,0,0
S51,-43.14518872522943,-258.43784086068865,-342.42078550253564,-346.18728579133284,-483.65558968796483,-468.4360052792753,-560.0054943484265,-481.87969431981423,-625.3301002600224,-493.97013346901275,-659.8951427296331,-387.56802506947884,-252.96112793358017,-184.84544329151652,-139.38753727784902,-46.580364949923236,-131.09546177625387,-294.99651930276906,-2.1416653527113194,-2.6246665609974986,0,0,0,0,0,0
S52,-52.637345933018885,-296.2585623436258,-353.4507454404672,-377.4635753426181,-528.9743666054649,-505.5393744565881,-573.2299873099827,-532.1261936164001,-613.4558978768752,-510.1141511174987,-712.576188526473,-426.99611834511677,-364.7075946630114,-290.9581258796452,-193.12662190831364,-85.3990880903348,-49.41463126052259,-337.2009917778982,1.07825611130008,-1.984165456311726,0,0,0,0,0,0
S53,-55.43634199319092,-307.29993312495264,-357.5325287203248,-401.7764641413826,-547.5519519134072,-542.2893251605192,-510.3369227501187,-567.6158137471842,-572.2337920412874,-525.8011885423359,-690.5019955581961,-424.704448825203,-352.24279502782616,-400.7109399987065,-106.25348002546264,-78.13607936206779,-52.30051869366115,-307.5328904119221,-4.429467524846853,-3.3654554575380673,0,0,0,0,0,0
S54,-52.32100370477766,-316.26836061260445,-373.18240717520587,-403.63581208689726,-553.6659071781455,-539.2391604244384,-498.0774916671429,-579.5790950957916,-572.7545895043189,-526.8022539545108,-734.0217562529166,-461.7952905101559,-378.4188384760281,-504.96199717994637,-38.56400162091855,-111.78328180544116,-77.19725413583677,-328.18477289402995,-9.224561751381977,-7.71590352590156,0,0,0,0,0,0
S55,-52.88108850179263,-315.0248663949835,-367.7299257598032,-390.7669700330061,-561.0133167238533,-545.8894301968166,-485.6083081175688,-581.1423056611949,-596.8604145144267,-503.40173152505673,-703.3723171603725,-473.7110552366586,-403.5857922917128,-515.5408319660157,-39.86530006728373,-64.47810013798528,42.730458381336156,-323.3711058667437,-9.285147404070937,-8.707834438358516,0,0,0,0,0,0
S56,-52.86462172764716,-315.00486964722916,-367.70216494718255,-390.8561400779056,-549.0181632186868,-544.786314851784,-487.0710811496712,-579.714783840699,-596.4499236550207,-501.5035577498788,-701.0035793798695,-476.96898463501645,-399.9514812383751,-514.1951607487964,-41.13136752329005,-58.87659849274662,56.899575652931134,-355.4522391407531,-9.183382974502273,-8.619923308651696,0,0,0,0,0,0
S57,-130.2310712528464,-265.46298840113195,-263.7344903350889,-245.36430777685814,-327.9969965021072,-225.7505067849772,23.408619215414816,36.688165696004305,-147.29068999306972,62.80645531413586,41.16847390827871,-61.24734306312796,117.68571586671861,-45.75224949624079,-250.8861431770839,30.270990644439166,359.3107732114671,-148.78069859433117,24.52405259755497,8.82643372286685,0,0,0,0,0,0
S58,-217.0879549931517,-368.7096386491524,-410.1878952869167,-413.9564548279444,-483.6648398424552,-426.37875222003174,-549.6629922200018,-434.61120234655846,-723.0120981365715,-552.4182248535529,-652.0437049081496,-325.29366733307353,-121.05903402470818,-76.00775282474982,-97.18631161746849,34.106984341336855,-233.73531450035313,-322.56281441078016,-0.5494600028874697,-0.015119464746713763,0,0,0,0,0,0
S59,-311.95483865845017,-461.0097764972503,-535.60517740519,-528.0225014924946,-644.8017009151491,-539.4544640501824,-679.3330480031043,-613.1328299369114,-773.9827152961576,-611.5228445200867,-735.360106506433,-462.2475135161688,-360.3618361452181,-232.54297395056335,-199.78139679552686,-138.69704935372607,-239.38208351359867,-396.23563504722983,-6.731053831432687,-2.5972433798905428,0,0,0,0,0,0
S60,-370.28819547664745,-529.454253335693,-638.0995869145706,-627.5191905692865,-750.1324967741984,-737.6149948148766,-768.3581512821308,-723.8702970509801,-806.7582504651272,-684.4414357435946,-791.8084244877708,-519.2762959364296,-463.41680728572675,-344.13199185081123,-331.1880062429049,-241.37238450840837,-291.9283706753646,-644.4146401509689,-7.717040651584295,-4.112554316664482,0,0,0,0,0,0
S61,-430.88401687284545,-605.383088155979,-718.952833857367,-684.5320558481758,-849.7972058128083,-863.5370694618807,-776.0234894141682,-735.9987052790062,-835.1461633729605,-738.9756229677733,-914.85057539108,-428.78157542799136,-424.2584790821713,-170.08577192039985,-166.1991198640669,-90.65943278486444,-218.81984325564207,-464.9364319151905,-10.816154059617222,-3.687778937480313,0,0,0,0,0,0
S62,-477.16372438924765,-659.2670642720377,-772.0086968500257,-732.792798894136,-881.7871728877202,-891.6198618662036,-750.7176531536331,-731.7755051318766,-806.8504397182456,-731.6932360528607,-882.1724116390018,-439.89360489222304,-432.96438857991507,-273.9453707572857,-145.31608871547786,-112.70750175649712,-333.06105902570414,-493.2509201645612,-22.0000400718805,-10.608339475709098,0,0,0,0,0,0
S63,-482.1623450658499,-653.1227132624422,-779.4780912077614,-746.6109645983216,-967.5479469861567,-886.7773008253961,-749.4062582859619,-729.2952067877936,-863.6876288845716,-730.7005495572607,-873.9050626776708,-458.15111716686283,-391.068932338821,-342.76590463121346,-171.17029601625777,-114.52762145436601,-350.9776464998131,-430.3579364495658,-22.682782462977833,-11.680183198019037,0,0,0,0,0,0
S64,-502.98792988276904,-654.4869971942842,-786.0247634271559,-743.1739617041053,-966.3543884590986,-902.7248356569401,-769.3900374136476,-734.7370328297816,-881.5234482037253,-748.5680037731362,-886.1938782256447,-484.3876239301581,-427.5959422101261,-369.3423959733444,-213.87234353866535,-119.65375966960501,-335.7197781217707,-521.428138797706,-26.68839214616203,-13.33217374712827,0,0,0,0,0,0
S65,-2.469634451848668,-41.78053913507762,-65.81744826451575,-69.11793387301834,-68.57726504634076,-84.56291256921489,-135.3656063086488,266.0438446954485,-159.75265184928577,25.904770701877133,-31.315548068142185,148.97313369961384,135.14716552480354,112.37863490333578,-32.91948434829007,92.11444414814719,152.2421587903713,4.129187631779274,26.15746625994264,10.263578070520957,0,0,0,0,0,0
S66,-4.568515303468635,-52.69065099964298,-84.68225575887666,-98.85752999623153,-104.4269476376698,-143.7482905292322,-182.9495388752518,-211.27577380333307,-348.3625242844646,-379.8856454113464,-317.31752533681413,-75.51164227915396,-64.10602043492197,-141.39990781148182,-6.803425859182255,23.288462534270415,-106.05151648090683,-98.9411796548989,4.3476388450951475,0.5213260306666013,0,0,0,0,0,0
S67,-6.929173985709303,-58.963106025805125,-99.7628708052396,-112.6227734750893,-138.82840865377855,-167.41488646134871,-226.0179925037802,-270.26222124291974,-384.04755369501765,-429.711655208588,-343.1682515746592,-138.06239174714284,-120.08094337454534,-194.29640856164366,-76.90706848730943,-81.06058988473563,-157.6165592478107,-208.46381867037422,-0.23044324430965268,-2.3410504382096278,0,0,0,0,0,0
S68,-8.320719310481229,-64.20673225478302,-105.01828175720718,-122.21952542762659,-152.8248020084968,-185.84207789712437,-247.7202491492534,-325.24828740926193,-409.44733546927114,-461.9298272879089,-372.13340437232125,-189.92486667876386,-184.02361249513532,-231.65699770424908,-113.04088595689964,-79.0937704832393,-124.81817768140502,-272.63896261701603,-0.8281338695423912,-3.6931654097230555,0,0,0,0,0,0
S69,-8.45117139331003,-67.1505152347871,-109.08650710940205,-131.38337619588424,-160.38918103230236,-197.6894045328752,-267.90339266609743,-361.4510639175528,-432.7889456326899,-490.0508359206741,-389.91779694409524,-233.3663243541997,-252.2579004883303,-307.5845750756576,-173.6273945733986,-143.74735344475997,-190.3595782890628,-331.160816687766,-10.239324173804354,-7.519722955605581,0,0,0,0,0,0
S70,-8.450526878667375,-67.7331725574426,-109.7079811824857,-132.84542288003243,-162.94240444238372,-201.58543273778307,-271.00430988187617,-368.63197344285845,-456.8788888624509,-502.0057987627453,-403.07543915694487,-217.28992898337296,-245.2861135778832,-340.9641756822719,-184.27368295002822,-149.80205841369454,-162.55740462774605,-304.1159691335169,-8.652689898722477,-8.746366920884267,0,0,0,0,0,0
S71,-8.725834724915005,-67.8761128758274,-109.74204189266513,-132.84753413095586,-162.98219973007733,-202.063531710988,-271.42569232213276,-369.36956162477765,-458.36296861568735,-501.6106481701712,-405.50124306723757,-216.09290663728675,-240.76860750065077,-337.5814839189495,-179.92935069403336,-147.9919301673105,-163.40709710461175,-296.1359253191596,-6.779810334342606,-8.345629508679428,0,0,0,0,0,0
