,lignite,coal,oil,CCGT,OCGT,biomass,ror,offwind-ac,offwind-dc,onwind,solar
2020,20.03944056281103,21.012092045205673,0.9746999999999999,21.37881060142108,8.34616326220317,7.950586326000001,2.6472533499999993,2.2582084972086625,3.434753572906987,69.84064038507537,79.90585863008896
2021,16.612477858623627,19.87517409041135,0.9392999999999999,21.37881443196029,8.346168562992606,7.946728146941774,2.6472533499999993,2.2582096082931775,3.4347550623384806,78.03194659588362,84.21698261289993
2022,15.276515154436227,18.903816135617024,0.8465,21.378819887545646,8.3461765098064,7.94255899678788,2.635953349879459,2.258211027106323,3.4347567771903993,85.76181142852055,84.21012241787459
2023,13.940552450248827,17.9324581808227,0.8465,21.37882641249084,8.346185326906056,7.90746241609376,2.635953349879459,2.258212800248708,3.434759118428261,89.36492783595182,84.81502038163451
2024,12.559589746061423,16.961100226028375,0.8465,21.37883226174853,8.34619411780813,7.877290572732896,2.539453349511273,2.2582145017794337,3.4347617869434273,92.56723399702582,86.93263620916957
2025,11.223627041874023,15.989742271234052,0.8465,21.378838065822325,8.346202366884109,7.86007200090318,2.539453349339818,2.2582164009188115,3.434764570910239,96.04836931946211,89.3916684336572
2026,9.887664337686621,13.605784316439728,0.8465,21.378851697350886,12.18769314075909,7.846347653726035,2.5394533493396376,2.2582188916456163,3.4347691226279986,100.38937696910322,92.87972920288189
2027,8.551701633499219,12.634426361645403,0.8465,21.37887083376706,15.248286687090532,7.803343382236053,2.5394533488668247,2.2582213169581733,3.4347743198734926,104.00158197165885,95.01132308672916
2028,7.206438929311817,11.737502296842647,0.8465,21.378900261110676,18.083642591048296,7.765984987617549,2.5394533488668247,2.2582236453870896,3.4347795377181023,108.95269111087563,97.15521991019517
2029,5.870476225124417,10.600970329825165,0.8465,23.312867345051178,19.11931950636382,7.7276112066405025,2.5394533487344075,2.258225636599941,3.434784329677026,113.04598341224154,99.48435370638087
2030,4.534513520937014,9.76743836280768,0.8465,25.34973656424658,19.569566396479615,7.725125028030612,2.5394533474726546,2.2582282289804683,3.4347923167513947,117.9527260060784,101.1912198362209
2031,3.198550816749612,8.213588874148025,0.846,27.99388460412125,20.30619050509125,7.725124930330633,2.5394533484776503,2.2582311295581627,3.4348034778394476,123.17778569443288,102.72285872344852
2032,1.86258811256221,7.010997113660361,0.846,30.376161096607895,20.854682585952986,7.725124854179971,2.5394533484776503,2.258234426158331,3.4348206903727023,127.25393399003832,105.06735157852879
2033,1.1894088139855081,6.418805353172696,0.846,30.585912715720546,20.854802600063024,7.725124281146753,2.5394533484776503,2.2582371332347178,3.5840341991564775,131.05822716936947,110.29297269058542
2034,0.5700143247854882,5.643260656585914,0.726,30.585987742779086,20.854849270743564,7.725122977591478,2.5394533484768353,2.243239552436918,3.6780549601992747,134.11655759391223,116.58926595745454
2035,0.0,0.0,0.639,30.586043432356668,20.854893204809,7.725120117625689,2.5394533484768353,2.2182425939726493,3.658061840981408,137.21353478499356,122.90862684245143
2036,0.0,0.0,0.639,33.825981150805845,20.85493237838216,7.725118849869741,2.5394533484768353,2.1679464990382566,3.623071024503974,142.1201175834854,131.65375882372857
2037,0.0,0.0,0.6342,33.82600806869906,20.854957590149073,7.725106569562359,2.5394533484768353,2.1279497261907263,3.5830786642377963,144.8888754233462,135.04615672669533
2038,0.0,0.0,0.6342,33.82602012445017,20.854968386761932,7.5741875156211105,2.4903533466027343,2.0079517189976497,3.463084534908268,147.59763470746915,139.26598191411406
2039,0.0,0.0,0.6342,33.82603707202113,20.85498288917768,7.038201002332019,2.4903533486412854,1.7636754176559908,3.2145111351004525,151.70638820779467,144.1657845688996
2040,0.0,0.0,0.6342,33.826144838962996,20.85507693995865,6.278231118089585,2.4903533486412854,0.7434710517882388,2.2220904848945526,158.53010892852933,149.85242884870382
2041,0.0,0.0,0.6342,33.82615702066992,20.855087017466495,5.045098738483777,2.4903533486412854,0.6157594517607939,1.7954295162468297,164.08483550152548,157.31675530513766
2042,0.0,0.0,0.6342,33.82616522122626,20.85509448061139,4.746574464671645,2.490353347706683,0.2885103969416333,1.334036413849661,168.3126735059801,165.22328004183012
2043,0.0,0.0,0.6342,33.82617460912556,20.85510581585768,4.4795111440401625,2.4903533487163947,0.12471348880356183,1.2470718516985062,178.3738120553573,190.20266452306453
2044,0.0,0.0,0.5197999999999999,33.82617945913284,20.855113150304188,4.479511103689189,2.490353348079227,5.5556943489799046e-05,7.462420939511001,189.75558369895447,201.28238984905684
2045,0.0,0.0,0.5197999999999999,33.82617945913284,20.855113150304188,4.479512466400454,2.490353433569035,7.58067977434511,11.462420667008772,222.92184902745683,219.28157429093292
2046,0.0,0.0,0.5197999999999999,33.82617945913284,20.855113150304188,4.4795125994332325,2.490353433569035,7.580679865476149,15.462420194682982,264.4976179576703,263.28155115629346
2047,0.0,0.0,0.5197999999999999,33.82617945913284,20.855113150304188,4.479512584482369,2.490353433569035,7.5806790713702705,15.462419891313802,276.8293537745042,263.2815074161985
2048,0.0,0.0,0.4771,33.82617945913284,20.855113150304188,4.479512574948042,2.490353433569035,7.580677763311351,15.462418652569736,282.04212731763346,262.670694539576
2049,0.0,0.0,0.4771,33.82617945913284,20.855113150304188,4.479512566785023,2.490353433569035,7.580676243361258,15.46241734159653,287.688960850791,260.5437970722852
2050,0.0,0.0,0.4771,33.82617945913284,20.855113150304188,4.479512574799769,2.490353433569035,7.580676243361258,15.462417527817191,292.99909368406065,260.5438012151503
