,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 6 biomass,biomass,29.687,DE0 6,,,2040.0
DE0 7 biomass,biomass,24.031,DE0 7,,,2040.0
DE0 8 biomass,biomass,65.33595,DE0 8,,,2040.0
DE0 9 biomass,biomass,60.4625,DE0 9,,,2040.0
DE0 0 biomass,biomass,39.052,DE0 0,,,2039.0
DE0 1 biomass,biomass,19.9594,DE0 1,,,2039.0
DE0 10 biomass,biomass,14.87,DE0 10,,,2039.0
DE0 11 biomass,biomass,22.81,DE0 11,,,2039.0
DE0 12 biomass,biomass,57.570875,DE0 12,,,2039.0
DE0 13 biomass,biomass,51.8502,DE0 13,,,2039.0
DE0 14 biomass,biomass,30.7911,DE0 14,,,2039.0
DE0 15 biomass,biomass,15.054,DE0 15,,,2039.0
DE0 2 biomass,biomass,97.075,DE0 2,,,2039.0
DE0 3 biomass,biomass,4.8216,DE0 3,,,2039.0
DE0 4 biomass,biomass,41.947,DE0 4,,,2039.0
DE0 5 biomass,biomass,7.1548,DE0 5,,,2039.0
DE0 6 biomass,biomass,19.70162,DE0 6,,,2039.0
DE0 7 biomass,biomass,20.453,DE0 7,,,2039.0
DE0 8 biomass,biomass,56.1841,DE0 8,,,2039.0
DE0 9 biomass,biomass,36.9632,DE0 9,,,2039.0
DE0 0 biomass,biomass,10.618,DE0 0,,,2038.0
DE0 1 biomass,biomass,16.2115,DE0 1,,,2038.0
DE0 10 biomass,biomass,3.6885,DE0 10,,,2038.0
DE0 11 biomass,biomass,30.04,DE0 11,,,2038.0
DE0 12 biomass,biomass,62.34334,DE0 12,,,2038.0
DE0 13 biomass,biomass,57.8315,DE0 13,,,2038.0
DE0 14 biomass,biomass,11.898,DE0 14,,,2038.0
DE0 15 biomass,biomass,3.676,DE0 15,,,2038.0
DE0 2 biomass,biomass,59.00415,DE0 2,,,2038.0
DE0 3 biomass,biomass,20.959,DE0 3,,,2038.0
DE0 4 biomass,biomass,42.594,DE0 4,,,2038.0
DE0 5 biomass,biomass,6.6000000000000005,DE0 5,,,2038.0
DE0 6 biomass,biomass,8.313,DE0 6,,,2038.0
DE0 7 biomass,biomass,23.405,DE0 7,,,2038.0
DE0 8 biomass,biomass,25.465,DE0 8,,,2038.0
DE0 9 biomass,biomass,29.788,DE0 9,,,2038.0
DE0 0 biomass,biomass,33.4543,DE0 0,,,2037.0
DE0 1 biomass,biomass,36.165111,DE0 1,,,2037.0
DE0 10 biomass,biomass,7.1795,DE0 10,,,2037.0
DE0 11 biomass,biomass,77.92865,DE0 11,,,2037.0
DE0 12 biomass,biomass,85.004,DE0 12,,,2037.0
DE0 13 biomass,biomass,78.7662,DE0 13,,,2037.0
DE0 14 biomass,biomass,23.988,DE0 14,,,2037.0
DE0 15 biomass,biomass,13.1741,DE0 15,,,2037.0
DE0 2 biomass,biomass,97.5635,DE0 2,,,2037.0
DE0 3 biomass,biomass,19.13127,DE0 3,,,2037.0
DE0 4 biomass,biomass,43.754,DE0 4,,,2037.0
DE0 5 biomass,biomass,23.7759,DE0 5,,,2037.0
DE0 6 biomass,biomass,20.091,DE0 6,,,2037.0
DE0 7 biomass,biomass,39.617,DE0 7,,,2037.0
DE0 8 biomass,biomass,53.3011,DE0 8,,,2037.0
DE0 9 biomass,biomass,57.586,DE0 9,,,2037.0
DE0 0 biomass,biomass,76.9765,DE0 0,,,2036.0
DE0 1 biomass,biomass,70.6839,DE0 1,,,2036.0
DE0 10 biomass,biomass,10.7818,DE0 10,,,2036.0
DE0 11 biomass,biomass,65.477,DE0 11,,,2036.0
DE0 12 biomass,biomass,132.5283,DE0 12,,,2036.0
DE0 13 biomass,biomass,118.7172,DE0 13,,,2036.0
DE0 14 biomass,biomass,33.3738,DE0 14,,,2036.0
DE0 15 biomass,biomass,28.509,DE0 15,,,2036.0
DE0 2 biomass,biomass,111.729,DE0 2,,,2036.0
DE0 3 biomass,biomass,12.501,DE0 3,,,2036.0
DE0 4 biomass,biomass,35.32,DE0 4,,,2036.0
DE0 5 biomass,biomass,17.1041,DE0 5,,,2036.0
DE0 6 biomass,biomass,36.536,DE0 6,,,2036.0
DE0 7 biomass,biomass,47.5958,DE0 7,,,2036.0
DE0 8 biomass,biomass,95.59766,DE0 8,,,2036.0
DE0 9 biomass,biomass,77.20400000000001,DE0 9,,,2036.0
DE0 0 biomass,biomass,62.45525,DE0 0,,,2035.0
